Game_Orig,Revenue,Initial release,Publisher(s),Genres_Raw,Game_standard,Genre
Genshin Impact,3567000000,09-28-20,miHoYo,Action RPG,genshin impact,actionrpg
Dragon Ball Legends,930000000,05-18-18,Bandai Namco Entertainment,Action RPG,dragon ball legends,actionrpg
Dragalia Lost,168000000,09-27-18,Nintendo,Action RPG,dragalia lost,actionrpg
White Cat Project,134000000,07-14-14,Colopl,Action RPG,white cat project,actionrpg
Honkai Impact 3rd,731000000,10-14-16,miHoYo,ARPG / Hack & slash,honkai impact 3rd,arpg/hack&slash
Pokemon Go,7760000000,07-06-16,Niantic / The Pokémon Company,Augmented reality,pokemon go,augmentedreality
Dragon Quest Walk,927720000,09-12-19,Square Enix,Augmented reality,dragon quest walk,augmentedreality
PUBG Mobile,9000000000,03-19-18,Tencent Games / Krafton / VNG Games,Battle royale,pubg mobile,battleroyale
Garena Free Fire,4330000000,12-04-17,Garena,Battle royale,garena free fire,battleroyale
Knives Out,1485270000,11-23-17,NetEase,Battle royale,knives out,battleroyale
Fortnite,1200000000,04-02-18,Epic Games,Battle royale,fortnite,battleroyale
Coin Master,3008000000,03-19-18,Moon Active,Casual / Casino,coin master,casual/casino
Hearthstone,660000000,04-16-14,Blizzard (Activision Blizzard),DCCG,hearthstone,dccg
One Piece: The Road of the Strong,113840000,01-15-16,CMGE,DCCG,one piece: the road of the strong,dccg
The Idolmaster Cinderella Girls: Starlight Stage,524000000,09-03-15,Bandai Namco Entertainment,DCCG / Rhythm,the idolmaster cinderella girls: starlight stage,dccg/rhythm
Yu-Gi-Oh! Duel Links,284000000,11-17-16,Konami,Digital collectible card game,yu-gi-oh! duel links,digitalcollectiblecardgame
Marvel Contest of Champions,1784000000,12-10-14,Kabam (Netmarble),Fighting,marvel contest of champions,fighting
Roblox Mobile,3919000000,12-11-12,Roblox Corporation,GCS / MMO,roblox mobile,gcs/mmo
Fantasy Westward Journey,4700000000,03-26-15,NetEase,MMORPG,fantasy westward journey,mmorpg
Lineage M,3578000000,06-21-17,NCsoft,MMORPG,lineage m,mmorpg
Lineage 2: Revolution,2106770000,12-14-16,Netmarble Games / NCsoft,MMORPG,lineage 2: revolution,mmorpg
Lineage 2 M,1413000000,11-27-19,NCsoft,MMORPG,lineage 2 m,mmorpg
A Chinese Ghost Story,860000000,05-19-16,NetEase,MMORPG,a chinese ghost story,mmorpg
Honor of Kings / Arena of Valor,14667500000,11-26-15,Tencent Games,MOBA,honor of kings,moba
Brawl Stars,1400000000,12-12-18,Supercell (Tencent),MOBA,brawl stars,moba
