Game,Revenue,Initial release,Publisher(s),Genre(s)
Honor of Kings / Arena of Valor,14667500000,11-26-15,Tencent Games,MOBA
Monster Strike,10000000000,08-08-13,Mixi,Puzzle / RPG / Strategy
PUBG Mobile,9000000000,03-19-18,Tencent Games / Krafton / VNG Games,Battle royale
Puzzle & Dragons,8578340000,02-20-12,GungHo Online Entertainment,RPG / Puzzle
Clash of Clans,8000000000,08-02-12,Supercell (Tencent),Strategy
Pokemon Go,7760000000,07-06-16,Niantic / The Pokémon Company,Augmented reality
Candy Crush Saga,7456000000,11-14-12,King (Activision Blizzard),Puzzle
Fate/Grand Order,6300000000,07-30-15,Aniplex (Sony Music Entertainment Japan),RPG
Fantasy Westward Journey,4700000000,03-26-15,NetEase,MMORPG
Garena Free Fire,4330000000,12-04-17,Garena,Battle royale
Roblox Mobile,3919000000,12-11-12,Roblox Corporation,GCS / MMO
Genshin Impact,3567000000,09-28-20,miHoYo,Action RPG
Lineage M,3578000000,06-21-17,NCsoft,MMORPG
Dragon Ball Z: Dokkan Battle,3500000000,01-30-15,Bandai Namco Entertainment,RPG / Puzzle
Coin Master,3008000000,03-19-18,Moon Active,Casual / Casino
Clash Royale,3000000000,03-02-16,Supercell (Tencent),Real-time strategy
Gardenscapes,3000000000,07-05-16,Playrix,Puzzle / Decoration
Game of War: Fire Age,2800000000,07-25-13,Machine Zone,Strategy
Lords Mobile,2576700000,02-26-16,IGG,Strategy / MMO
Homescapes,2294000000,09-15-17,Playrix,Puzzle / Decoration
Pro Yakyū Spirits A / Pro Baseball Spirits A,2200000000,10-21-15,Konami,Sports (baseball)
Lineage 2: Revolution,2106770000,12-14-16,Netmarble Games / NCsoft,MMORPG
Candy Crush Soda Saga,2000000000,10-20-14,King (Activision Blizzard),Puzzle
Three Kingdoms Tactics,1936200000,09-19-19,Alibaba Group / Koei Tecmo,Strategy (4X)
Marvel Contest of Champions,1784000000,12-10-14,Kabam (Netmarble),Fighting
Toon Blast,1600000000,03-03-17,Peak Games,Puzzle
Disney Tsum Tsum,1500000000,01-29-14,LINE,Puzzle
Call of Duty: Mobile,1500000000,10-01-19,Activision / Tencent / Garena,Shooter / Battle royale
Knives Out,1485270000,11-23-17,NetEase,Battle royale
AFK Arena,1450000000,01-07-19,Lilith Games,RPG
Lineage 2 M,1413000000,11-27-19,NCsoft,MMORPG
Hay Day,1400000000,06-21-12,Supercell (Tencent),Simulation
Brawl Stars,1400000000,12-12-18,Supercell (Tencent),MOBA
Summoners War: Sky Arena,1350000000,06-12-14,Com2Us,TBS / MMO
Fortnite,1200000000,04-02-18,Epic Games,Battle royale
Onmyoji,1129000000,06-20-16,NetEase,RPG
Star Wars: Galaxy of Heroes,1071000000,11-24-15,Electronic Arts,RPG
Boom Beach,1000000000,11-11-13,Supercell (Tencent),Strategy
Mobile Strike,1000000000,07-11-15,Machine Zone,Strategy
Mobile Legends: Bang Bang,1000000000,07-11-16,Moonton (ByteDance),MOBA
Fire Emblem Heroes,1000000000,02-02-17,Nintendo,Tactical RPG
Uma Musume Pretty Derby,990000000,02-24-21,Cygames,Simulation / Social
QQ Speed Mobile / Speed Drifters,945000000,06-15-17,Tencent Games / Garena,Racing (Kart / MMOR)
Dragon Ball Legends,930000000,05-18-18,Bandai Namco Entertainment,Action RPG
Dragon Quest Walk,927720000,09-12-19,Square Enix,Augmented reality
Rise of Kingdoms,926000000,09-20-18,Lilith Games,Strategy
Fishdom,923600000,12-10-15,Playrix,Puzzle
Township,922100000,02-24-12,Playrix,Simulation (CMS)
A Chinese Ghost Story,860000000,05-19-16,NetEase,MMORPG
Marvel Strike Force,846000000,03-28-18,FoxNext / Scopely,RPG
Toy Blast,820000000,01-06-15,Peak Games,Puzzle
Granblue Fantasy,754200000,03-10-14,Cygames,RPG
Honkai Impact 3rd,731000000,10-14-16,miHoYo,ARPG / Hack & slash
King of Avalon,721000000,07-14-16,FunPlus,Strategy
Clash of Kings,700000000,06-14-14,Elex Tech,Strategy / MMO
The Seven Deadly Sins: Grand Cross,680000000,06-04-19,Netmarble,RPG
Hearthstone,660000000,04-16-14,Blizzard (Activision Blizzard),DCCG
The Battle Cats,600000000,11-01-12,PONOS Corporation,Real Time Strategy
The Idolmaster Cinderella Girls: Starlight Stage,524000000,09-03-15,Bandai Namco Entertainment,DCCG / Rhythm
Final Fantasy XV: A New Empire,518400000,06-29-17,Machine Zone / Square Enix,Strategy
Guns of Glory,510000000,09-08-17,FunPlus,Strategy MMORPG
League of Legends: Wild Rift,505000000,10-27-20,Riot Games (Tencent),MOBA
Minecraft,500000000,11-18-11,Mojang Studios,Sandbox / Survival
