Game_Orig,Revenue,Initial release,Publisher(s),Genres_Raw,Game_standard,Player_Count
Honor of Kings / Arena of Valor,14667500000,11-26-15,Tencent Games,MOBA,honor of kings,200000000
Monster Strike,10000000000,08-08-13,Mixi,Puzzle / RPG / Strategy,monster strike,0
PUBG Mobile,9000000000,03-19-18,Tencent Games / Krafton / VNG Games,Battle royale,pubg mobile,300000000
Puzzle & Dragons,8578340000,02-20-12,GungHo Online Entertainment,RPG / Puzzle,puzzle & dragons,80000000
Clash of Clans,8000000000,08-02-12,Supercell (Tencent),Strategy,clash of clans,0
Pokemon Go,7760000000,07-06-16,Niantic / The Pokémon Company,Augmented reality,pokemon go,0
Candy Crush Saga,7456000000,11-14-12,King (Activision Blizzard),Puzzle,candy crush saga,500000000
Fate/Grand Order,6300000000,07-30-15,Aniplex (Sony Music Entertainment Japan),RPG,fate/grand order,57000000
Fantasy Westward Journey,4700000000,03-26-15,NetEase,MMORPG,fantasy westward journey,0
Garena Free Fire,4330000000,12-04-17,Garena,Battle royale,garena free fire,0
